Episode,Reward
0,-219.0
1,-284.0
2,-237.0
3,-328.0
4,-231.0
5,-276.0
6,-310.0
7,-235.0
8,-202.0
9,-395.0
10,-499.0
11,-499.0
12,-499.0
13,-499.0
14,-499.0
15,-499.0
16,-499.0
17,-499.0
18,-499.0
19,-499.0
20,-499.0
21,-499.0
22,-499.0
23,-499.0
24,-499.0
25,-499.0
26,-499.0
27,-499.0
28,-499.0
29,-499.0
30,-499.0
31,-499.0
32,-499.0
33,-499.0
34,-499.0
35,-499.0
36,-499.0
37,-499.0
38,-499.0
39,-499.0
40,-499.0
41,-499.0
42,-499.0
43,-499.0
44,-499.0
45,-499.0
46,-499.0
47,-499.0
48,-499.0
49,-499.0
50,-344.0
51,-499.0
52,-173.0
53,-499.0
54,-499.0
55,-248.0
56,-469.0
57,-422.0
58,-264.0
59,-408.0
60,-499.0
61,-499.0
62,-499.0
63,-499.0
64,-499.0
65,-499.0
66,-499.0
67,-499.0
68,-499.0
69,-499.0
70,-499.0
71,-499.0
72,-404.0
73,-499.0
74,-452.0
75,-499.0
76,-499.0
77,-327.0
78,-499.0
79,-499.0
80,-229.0
81,-402.0
82,-279.0
83,-367.0
84,-499.0
85,-499.0
86,-236.0
87,-499.0
88,-372.0
89,-284.0
90,-193.0
91,-499.0
92,-233.0
93,-227.0
94,-216.0
95,-499.0
96,-476.0
97,-450.0
98,-499.0
99,-207.0
100,-499.0
101,-220.0
102,-499.0
103,-499.0
104,-499.0
105,-499.0
106,-499.0
107,-239.0
108,-177.0
109,-499.0
110,-201.0
111,-209.0
112,-180.0
113,-158.0
114,-111.0
115,-197.0
116,-193.0
117,-499.0
118,-252.0
119,-160.0
120,-155.0
121,-134.0
122,-210.0
123,-292.0
124,-168.0
125,-156.0
126,-171.0
127,-176.0
128,-178.0
129,-166.0
130,-499.0
131,-185.0
132,-499.0
133,-189.0
134,-125.0
135,-166.0
136,-499.0
137,-140.0
138,-127.0
139,-146.0
140,-158.0
141,-103.0
142,-137.0
143,-129.0
144,-98.0
145,-174.0
146,-98.0
147,-130.0
148,-118.0
149,-117.0
150,-499.0
151,-499.0
152,-499.0
153,-226.0
154,-499.0
155,-499.0
156,-499.0
157,-499.0
158,-118.0
159,-499.0
160,-93.0
161,-120.0
162,-74.0
163,-144.0
164,-139.0
165,-97.0
166,-127.0
167,-130.0
168,-123.0
169,-128.0
170,-134.0
171,-127.0
172,-118.0
173,-140.0
174,-89.0
175,-86.0
176,-124.0
177,-131.0
178,-85.0
179,-109.0
180,-499.0
181,-499.0
182,-499.0
183,-499.0
184,-499.0
185,-499.0
186,-499.0
187,-499.0
188,-499.0
189,-499.0
190,-212.0
191,-149.0
192,-160.0
193,-202.0
194,-314.0
195,-207.0
196,-171.0
197,-141.0
198,-177.0
199,-158.0
200,-102.0
201,-117.0
202,-140.0
203,-110.0
204,-127.0
205,-131.0
206,-128.0
207,-160.0
208,-128.0
209,-139.0
210,-499.0
211,-499.0
212,-499.0
213,-264.0
214,-193.0
215,-499.0
216,-499.0
217,-499.0
218,-499.0
219,-499.0
220,-499.0
221,-499.0
222,-499.0
223,-386.0
224,-499.0
225,-169.0
226,-499.0
227,-440.0
228,-111.0
229,-499.0
230,-499.0
231,-151.0
232,-130.0
233,-218.0
234,-269.0
235,-112.0
236,-126.0
237,-499.0
238,-164.0
239,-133.0
240,-102.0
241,-128.0
242,-115.0
243,-135.0
244,-118.0
245,-205.0
246,-119.0
247,-104.0
248,-112.0
249,-140.0
