Episode,Reward
0,-73.0
1,-83.0
2,-77.0
3,-101.0
4,-75.0
5,-70.0
6,-86.0
7,-82.0
8,-74.0
9,-69.0
10,-94.0
11,-110.0
12,-88.0
13,-73.0
14,-91.0
15,-78.0
16,-63.0
17,-69.0
18,-72.0
19,-74.0
20,-63.0
21,-73.0
22,-78.0
23,-79.0
24,-72.0
25,-98.0
26,-64.0
27,-85.0
28,-64.0
29,-93.0
30,-84.0
31,-84.0
32,-62.0
33,-78.0
34,-89.0
35,-71.0
36,-79.0
37,-70.0
38,-500.0
39,-72.0
40,-106.0
41,-72.0
42,-74.0
43,-86.0
44,-96.0
45,-80.0
46,-83.0
47,-90.0
48,-143.0
49,-75.0
50,-76.0
51,-121.0
52,-69.0
53,-101.0
54,-86.0
55,-88.0
56,-66.0
57,-90.0
58,-104.0
59,-87.0
60,-91.0
61,-64.0
62,-63.0
63,-79.0
64,-91.0
65,-73.0
66,-94.0
67,-110.0
68,-97.0
69,-64.0
70,-85.0
71,-77.0
72,-78.0
73,-91.0
74,-87.0
75,-62.0
76,-79.0
77,-76.0
78,-85.0
79,-140.0
80,-92.0
81,-65.0
82,-83.0
83,-61.0
84,-63.0
85,-72.0
86,-74.0
87,-71.0
88,-94.0
89,-85.0
90,-77.0
91,-68.0
92,-75.0
93,-110.0
94,-91.0
95,-88.0
96,-73.0
97,-94.0
98,-84.0
99,-72.0
100,-84.0
101,-98.0
102,-82.0
103,-205.0
104,-78.0
105,-79.0
106,-90.0
107,-75.0
108,-70.0
109,-78.0
110,-88.0
111,-77.0
112,-97.0
113,-162.0
114,-84.0
115,-75.0
116,-101.0
117,-111.0
118,-87.0
119,-79.0
120,-72.0
121,-73.0
122,-72.0
123,-75.0
124,-62.0
125,-177.0
126,-121.0
127,-73.0
128,-71.0
129,-102.0
130,-76.0
131,-72.0
132,-90.0
133,-74.0
134,-69.0
135,-97.0
136,-85.0
137,-72.0
138,-70.0
139,-94.0
140,-78.0
141,-63.0
142,-79.0
143,-66.0
144,-88.0
145,-77.0
146,-70.0
147,-83.0
148,-165.0
149,-71.0
150,-65.0
151,-76.0
152,-75.0
153,-118.0
154,-85.0
155,-92.0
156,-76.0
157,-91.0
158,-81.0
159,-88.0
160,-102.0
161,-99.0
162,-64.0
163,-64.0
164,-79.0
165,-83.0
166,-99.0
167,-102.0
168,-71.0
169,-111.0
170,-77.0
171,-83.0
172,-90.0
173,-141.0
174,-79.0
175,-87.0
176,-65.0
177,-81.0
178,-77.0
179,-101.0
180,-87.0
181,-79.0
182,-101.0
183,-78.0
184,-82.0
185,-140.0
186,-73.0
187,-75.0
188,-72.0
189,-111.0
190,-72.0
191,-93.0
192,-63.0
193,-75.0
194,-64.0
195,-94.0
196,-68.0
197,-72.0
198,-64.0
199,-65.0
200,-98.0
201,-85.0
202,-63.0
203,-86.0
204,-72.0
205,-69.0
206,-74.0
207,-64.0
208,-87.0
209,-63.0
210,-77.0
211,-99.0
212,-73.0
213,-100.0
214,-96.0
215,-62.0
216,-167.0
217,-63.0
218,-70.0
219,-80.0
220,-87.0
221,-80.0
222,-85.0
223,-74.0
224,-88.0
225,-81.0
226,-73.0
227,-86.0
228,-80.0
229,-98.0
230,-133.0
231,-88.0
232,-120.0
233,-83.0
234,-65.0
235,-73.0
236,-87.0
237,-104.0
238,-76.0
239,-89.0
240,-74.0
241,-72.0
242,-66.0
243,-74.0
244,-98.0
245,-90.0
246,-149.0
247,-155.0
248,-101.0
249,-72.0
250,-72.0
251,-79.0
252,-96.0
253,-63.0
254,-63.0
